round, random_action, action, bestAction, profit, whitenoise
455, 0.624395, 0.484351, 0.437802, 0.278534, 0
456, 0.594318, 0.490048, 0.452841, 0.429088, 0
457, 0.679834, 0.490618, 0.410083, 0.444344, 0
458, 0.603615, 0.488997, 0.448192, 0.401059, 0
459, 0.896353, 0.490442, 0.301823, 0.439625, 0
460, 0.029186, 0.553120, 0.735407, 0.333889, 1
461, 0.844687, 0.494673, 0.327657, 0.727571, 0
462, 0.630421, 0.485872, 0.434790, 0.318398, 0
463, 0.905853, 0.489933, 0.297074, 0.426036, 0
464, 0.785300, 0.484712, 0.357350, 0.287991, 0
465, 0.760417, 0.486997, 0.369792, 0.348057, 0
466, 0.101806, 0.487469, 0.699097, 0.360524, 0
467, 0.512490, 0.494756, 0.493755, 0.691765, 0
468, 0.417230, 0.492170, 0.541385, 0.486023, 0
469, 0.455475, 0.493976, 0.522263, 0.534863, 0
470, 0.866154, 0.414019, 0.316923, 0.432453, 1
471, 0.959942, 0.485465, 0.270029, 0.307710, 0
472, 0.656954, 0.483687, 0.421523, 0.261219, 0
473, 0.458210, 0.489430, 0.520895, 0.412613, 0
474, 0.874725, 0.493199, 0.312637, 0.513810, 0
475, 0.034733, 0.485302, 0.732633, 0.303447, 0
476, 0.930429, 0.494679, 0.284786, 0.724837, 0
477, 0.731359, 0.484247, 0.384321, 0.275813, 0
478, 0.962026, 0.488020, 0.268987, 0.375112, 0
