round, random_action, action, bestAction, profit, whitenoise, estimated_profit
194, 0.311510, 0.920877, 0.336061, 0.157181, 0.280600, 0.583154
195, 0.500040, 0.690362, 0.312495, 0.752360, 0.280500, 0.582308
196, 0.837767, 0.639125, 0.270279, 0.650688, 0.280400, 0.583465
197, 0.314134, 1.000000, 0.335733, 0.135194, 0.280300, 0.582080
198, 0.844929, 0.859505, 0.269384, 0.692515, 0.280200, 0.581026
199, 0.251611, 0.285996, 0.343549, 0.377296, 0.280100, 0.587884
200, 0.859292, 0.724279, 0.267588, 0.784533, 0.000000, 0.581806
201, 0.135505, 1.000000, 0.358062, 0.117257, 0.279900, 0.582168
202, 0.123892, 1.000000, 0.359513, 0.720412, 0.279800, 0.579225
203, 0.697076, 0.594772, 0.287865, 0.835934, 0.279700, 0.582277
204, 0.590466, 0.988690, 0.301192, 0.268218, 0.279600, 0.581595
205, 0.761030, 0.568594, 0.279871, 0.602873, 0.279500, 0.584370
206, 0.332253, 0.421327, 0.333468, 0.490255, 0.279400, 0.586184
207, 0.751495, 0.649231, 0.281063, 0.740819, 0.279300, 0.582707
208, 0.939298, 0.347606, 0.257588, 0.449945, 0.279200, 0.586707
209, 0.406833, 0.525826, 0.324146, 0.442154, 0.279100, 0.586110
210, 0.786516, 0.724476, 0.276686, 0.690797, 0.000000, 0.582435
211, 0.921126, 0.630974, 0.259859, 0.500329, 0.278900, 0.584689
212, 0.112300, 1.000000, 0.360962, 0.065728, 0.278800, 0.582419
213, 0.780043, 0.513336, 0.277495, 0.796110, 0.278700, 0.582801
214, 0.852702, 1.000000, 0.268412, 0.183298, 0.278600, 0.581846
215, 0.616951, 0.506832, 0.297881, 0.478802, 0.278500, 0.585904
216, 0.791441, 0.875070, 0.276070, 0.461533, 0.278400, 0.582138
217, 0.784885, 1.000000, 0.276889, 0.173799, 0.278300, 0.581892
218, 0.148168, 0.270911, 0.356479, 0.377762, 0.278200, 0.588050
219, 0.817010, 0.876840, 0.272874, 0.802420, 0.278100, 0.580219
220, 0.741299, 0.724515, 0.282338, 0.443137, 0.000000, 0.584100
221, 0.910705, 0.925305, 0.261162, 0.314673, 0.277900, 0.582259
222, 0.012673, 0.984098, 0.373416, 0.099312, 0.277800, 0.582498
223, 0.088722, 0.855266, 0.363910, 0.909999, 0.277700, 0.579833
224, 0.630679, 0.969897, 0.296165, 0.785200, 0.277600, 0.579265
225, 0.093640, 0.568204, 0.363295, 0.583788, 0.277500, 0.584536
226, 0.530787, 1.000000, 0.308652, 0.755300, 0.277400, 0.579054
227, 0.216853, 0.710553, 0.347893, 0.620613, 0.277300, 0.583045
228, 0.775761, 0.553380, 0.278030, 0.773066, 0.277200, 0.582970
229, 0.280375, 1.000000, 0.339953, 0.186866, 0.277100, 0.581829
230, 0.435058, 0.724315, 0.320618, 0.767167, 0.000000, 0.581922
231, 0.281065, 0.564657, 0.339867, 0.675531, 0.276900, 0.583770
232, 0.255717, 0.786261, 0.343035, 0.751150, 0.276800, 0.581452
233, 0.781639, 0.204718, 0.277295, 0.398320, 0.276700, 0.585958
234, 0.538085, 0.460532, 0.307739, 0.497872, 0.276600, 0.585969
235, 0.468871, 0.397550, 0.316391, 0.552202, 0.276500, 0.585462
236, 0.892039, 0.369308, 0.263495, 0.551658, 0.276400, 0.585397
237, 0.602781, 0.289388, 0.299652, 0.368773, 0.276300, 0.587020
238, 0.785333, 0.870883, 0.276833, 0.475686, 0.276200, 0.582112
239, 0.934987, 1.000000, 0.258127, 0.178889, 0.276100, 0.581867
240, 0.419364, 0.723595, 0.322580, 0.372544, 0.000000, 0.584585
241, 0.761962, 1.000000, 0.279755, 0.483864, 0.275900, 0.580380
242, 0.112308, 0.900909, 0.360961, 0.327496, 0.275800, 0.582530
243, 0.976390, 0.722360, 0.252951, 0.868621, 0.275700, 0.581254
244, 0.150846, 0.646986, 0.356144, 0.393388, 0.275600, 0.585337
245, 0.233306, 0.466343, 0.345837, 0.744776, 0.275500, 0.583335
246, 0.910472, 0.817689, 0.261191, 0.770887, 0.275400, 0.581017
247, 0.600452, 0.747606, 0.299943, 0.370262, 0.275300, 0.584302
248, 0.460247, 0.963661, 0.317469, 0.379221, 0.275200, 0.581394
249, 0.520203, 0.765701, 0.309975, 0.643413, 0.275100, 0.582337
250, 0.733425, 0.724620, 0.283322, 0.622301, 0.000000, 0.582894
251, 0.176602, 0.304965, 0.352925, 0.421016, 0.274900, 0.587224
252, 0.070361, 0.926308, 0.366205, 0.749370, 0.274800, 0.579956
253, 0.663220, 0.328691, 0.292098, 0.622391, 0.274700, 0.583631
254, 0.309405, 0.735304, 0.336324, 0.530750, 0.274600, 0.555722
255, 0.257417, 0.731567, 0.342823, 0.748308, 0.274500, 0.556617
256, 0.948609, 0.747513, 0.256424, 0.777138, 0.274400, 0.556592
257, 0.231374, 0.537280, 0.346078, 0.437360, 0.274300, 0.556905
258, 0.533933, 0.863764, 0.308258, 0.749385, 0.274200, 0.555553
259, 0.940589, 0.851859, 0.257426, 0.541179, 0.274100, 0.554931
260, 0.447585, 0.719740, 0.319052, 0.371824, 0.000000, 0.555195
261, 0.375248, 0.920344, 0.328094, 0.545861, 0.273900, 0.554491
262, 0.660853, 0.792158, 0.292393, 0.686825, 0.273800, 0.555883
263, 0.495154, 0.939401, 0.313106, 0.360374, 0.273700, 0.553792
264, 0.493830, 1.000000, 0.313271, 0.420705, 0.273600, 0.553620
265, 0.220354, 0.413390, 0.347456, 0.578536, 0.273500, 0.559183
266, 0.785842, 0.732579, 0.276770, 0.802472, 0.273400, 0.556824
267, 0.584247, 0.934211, 0.301969, 0.269159, 0.273300, 0.553537
268, 0.006810, 0.615482, 0.374149, 0.607680, 0.273200, 0.557049
269, 0.253804, 0.943520, 0.343275, 0.869729, 0.273100, 0.555534
270, 0.483443, 0.720232, 0.314570, 0.783692, 0.000000, 0.556859
271, 0.274027, 0.850047, 0.340747, 0.578360, 0.272900, 0.555071
272, 0.997988, 0.205970, 0.250252, 0.397184, 0.272800, 0.562199
273, 0.147140, 0.710768, 0.356607, 0.343820, 0.272700, 0.555141
274, 0.676208, 0.860290, 0.290474, 0.811741, 0.272600, 0.555791
275, 0.776217, 0.856478, 0.277973, 0.435973, 0.272500, 0.554541
276, 0.060167, 0.512274, 0.367479, 0.511948, 0.272400, 0.557561
277, 0.551557, 1.000000, 0.306055, 0.783194, 0.272300, 0.554730
278, 0.453657, 0.099468, 0.318293, 0.186461, 0.272200, 0.564233
279, 0.684830, 0.396665, 0.289396, 0.579466, 0.272100, 0.559438
280, 0.758588, 0.720936, 0.280176, 0.524660, 0.000000, 0.555806
