round, random_action, action, bestAction, profit, whitenoise, estimated_profit
32015, 0.684481, 0.720725, 0.289440, 0.621621, 0.107910, 0.637603
32016, 0.755752, 0.626988, 0.280531, 0.554646, 0.107904, 0.566703
32017, 0.231959, 0.453959, 0.346005, 0.505533, 0.107898, 0.504677
32018, 0.766209, 0.733086, 0.279224, 0.795319, 0.107892, 0.791687
32019, 0.520466, 0.603933, 0.309942, 0.516325, 0.107886, 0.520366
32020, 0.026985, 0.640519, 0.371627, 0.639716, 0.000000, 0.666384
32021, 0.957004, 0.766596, 0.255375, 0.919802, 0.107874, 0.862925
32022, 0.236564, 0.610436, 0.345429, 0.418212, 0.107868, 0.390797
32023, 0.209551, 0.837063, 0.348806, 0.759851, 0.107862, 0.762964
32024, 0.922284, 0.650476, 0.259715, 0.807402, 0.107856, 0.799588
32025, 0.889383, 0.519732, 0.263827, 0.449677, 0.107850, 0.435414
32026, 0.023134, 0.522908, 0.372108, 0.463994, 0.107844, 0.453371
32027, 0.222671, 0.778823, 0.347166, 0.921101, 0.107838, 0.862017
32028, 0.306255, 0.706586, 0.336718, 0.803245, 0.107832, 0.802089
32029, 0.001549, 0.580589, 0.374806, 0.741493, 0.107826, 0.750935
32030, 0.304649, 0.743999, 0.336919, 0.936479, 0.000000, 0.872585
32031, 0.326605, 0.652095, 0.334174, 0.755974, 0.107814, 0.765902
32032, 0.194837, 0.632260, 0.350645, 0.742313, 0.107808, 0.753501
32033, 0.987303, 0.544874, 0.251587, 0.778904, 0.107802, 0.784823
32034, 0.446113, 0.536997, 0.319236, 0.420067, 0.107796, 0.397152
32035, 0.415067, 0.777046, 0.323117, 0.647405, 0.107790, 0.666217
32036, 0.683196, 0.697105, 0.289601, 0.691716, 0.107784, 0.709554
32037, 0.211031, 0.528803, 0.348621, 0.554890, 0.107778, 0.563018
32038, 0.243489, 0.682446, 0.344564, 0.809880, 0.107772, 0.804652
32039, 0.973021, 0.660725, 0.253372, 0.790151, 0.107766, 0.789765
32040, 0.055452, 0.539071, 0.368068, 0.426242, 0.000000, 0.405693
32041, 0.577236, 0.710179, 0.302846, 0.902040, 0.107754, 0.854892
32042, 0.161739, 0.703833, 0.354783, 0.595383, 0.107748, 0.609403
32043, 0.223383, 0.774276, 0.347077, 0.832159, 0.107742, 0.812160
32044, 0.043315, 0.759007, 0.369586, 0.796074, 0.107736, 0.789182
32045, 0.006580, 0.699767, 0.374177, 0.908036, 0.107730, 0.856638
32046, 0.118587, 0.771611, 0.360177, 0.932491, 0.107724, 0.868477
32047, 0.683240, 0.776369, 0.289595, 0.859618, 0.107718, 0.828876
32048, 0.982912, 0.508201, 0.252136, 0.550703, 0.107712, 0.557436
32049, 0.621233, 0.485687, 0.297346, 0.423242, 0.107706, 0.395391
32050, 0.337786, 0.618496, 0.332777, 0.588486, 0.000000, 0.611108
32051, 0.968390, 0.704028, 0.253951, 0.735802, 0.107694, 0.748746
32052, 0.139660, 0.423940, 0.357542, 0.418192, 0.107688, 0.386564
32053, 0.911575, 0.914403, 0.261053, 0.786031, 0.107682, 0.778703
32054, 0.438432, 0.319090, 0.320196, 0.385632, 0.107676, 0.366376
32055, 0.340594, 0.557453, 0.332426, 0.672038, 0.107670, 0.689981
32056, 0.160225, 0.639071, 0.354972, 0.735605, 0.107664, 0.749394
32057, 0.108629, 0.722512, 0.361421, 0.839770, 0.107658, 0.824147
32058, 0.077220, 0.852164, 0.365348, 0.842963, 0.107652, 0.816466
32059, 0.484000, 0.613922, 0.314500, 0.867132, 0.107646, 0.835104
32060, 0.913022, 0.648350, 0.260872, 0.658778, 0.000000, 0.685442
32061, 0.852368, 0.263981, 0.268454, 0.342959, 0.107634, 0.315831
32062, 0.704227, 0.713767, 0.286972, 0.428318, 0.107628, 0.422194
32063, 0.689766, 0.634435, 0.288779, 0.542919, 0.107622, 0.550828
32064, 0.900898, 0.563734, 0.262388, 0.555638, 0.107616, 0.569020
