round, random_action, action, bestAction, profit, whitenoise, estimated_profit
187, 0.978336, 0.326432, 0.252708, 0.377840, 0.294390, 0.458306
188, 0.586181, 0.520394, 0.301727, 0.425369, 0.294360, 0.464309
189, 0.537150, 0.497660, 0.307856, 0.588275, 0.294330, 0.459364
190, 0.821343, 0.332736, 0.272332, 0.498377, 0.000000, 0.452443
191, 0.999129, 0.261949, 0.250109, 0.361218, 0.294270, 0.454428
192, 0.702435, 0.493786, 0.287196, 0.416961, 0.294240, 0.463827
193, 0.483793, 0.279445, 0.314526, 0.404886, 0.294210, 0.453220
194, 0.728928, 0.851583, 0.283884, 0.576976, 0.294180, 0.475637
195, 0.703927, 0.489138, 0.287009, 0.526963, 0.294150, 0.459803
196, 0.147347, 0.131285, 0.356582, 0.222473, 0.294120, 0.449055
197, 0.583964, 0.660263, 0.302005, 0.843005, 0.294090, 0.464715
198, 0.091633, 0.962523, 0.363546, 0.393824, 0.294060, 0.481390
199, 0.472850, 0.542159, 0.315894, 0.824104, 0.294030, 0.459522
200, 0.098624, 0.332909, 0.362672, 0.516378, 0.000000, 0.451560
201, 0.097595, 0.000000, 0.362801, 0.000000, 0.293970, 0.442285
202, 0.228687, 0.586384, 0.346414, 0.845193, 0.293940, 0.461182
203, 0.833962, 0.580550, 0.270755, 0.779007, 0.293910, 0.461369
204, 0.271099, 0.000000, 0.341113, 0.000000, 0.293880, 0.447290
205, 0.206558, 0.342131, 0.349180, 0.582945, 0.293850, 0.451041
206, 0.582733, 0.364444, 0.302158, 0.627012, 0.293820, 0.452198
207, 0.324747, 0.773907, 0.334407, 0.560730, 0.293790, 0.472474
208, 0.477792, 0.166153, 0.315276, 0.324407, 0.293760, 0.446496
209, 0.552007, 0.292025, 0.305999, 0.471659, 0.293730, 0.450448
210, 0.812224, 0.332697, 0.273472, 0.494221, 0.000000, 0.452647
211, 0.514890, 0.462095, 0.310639, 0.486581, 0.293670, 0.460181
212, 0.828291, 0.107705, 0.271464, 0.203715, 0.293640, 0.446362
213, 0.356854, 0.040520, 0.330393, 0.070596, 0.293610, 0.448276
214, 0.094118, 0.778690, 0.363235, 0.704563, 0.293580, 0.471479
215, 0.870531, 0.728809, 0.266184, 0.879590, 0.293550, 0.467686
216, 0.352528, 0.362048, 0.330934, 0.424010, 0.293520, 0.458083
217, 0.870178, 0.607282, 0.266228, 0.725150, 0.293490, 0.463307
218, 0.477393, 0.376980, 0.315326, 0.432227, 0.293460, 0.458517
219, 0.847534, 0.549019, 0.269058, 0.651763, 0.293430, 0.461214
220, 0.623491, 0.331906, 0.297064, 0.411744, 0.000000, 0.456863
221, 0.364945, 0.543079, 0.329382, 0.583969, 0.293370, 0.461731
222, 0.954691, 0.645653, 0.255664, 0.722996, 0.293340, 0.465196
223, 0.909445, 0.283831, 0.261319, 0.349502, 0.293310, 0.457003
224, 0.107368, 0.000000, 0.361579, 0.000000, 0.293280, 0.448257
225, 0.353577, 0.511484, 0.330803, 0.796919, 0.293250, 0.458276
226, 0.514677, 0.591836, 0.310665, 0.721424, 0.293220, 0.462579
227, 0.232890, 0.540164, 0.345889, 0.632440, 0.293190, 0.460995
228, 0.018353, 0.443295, 0.372706, 0.694688, 0.293160, 0.455076
229, 0.515353, 0.119559, 0.310581, 0.273244, 0.293130, 0.444386
230, 0.972912, 0.332795, 0.253386, 0.504477, 0.000000, 0.452144
231, 0.744519, 0.378384, 0.281935, 0.400558, 0.293070, 0.460048
232, 0.066445, 0.491141, 0.366694, 0.521100, 0.293040, 0.460053
233, 0.908159, 0.179902, 0.261480, 0.385852, 0.293010, 0.445845
234, 0.680328, 0.533280, 0.289959, 0.455635, 0.292980, 0.463670
235, 0.618079, 0.023422, 0.297740, 0.044362, 0.292950, 0.445934
236, 0.413147, 0.000000, 0.323357, 0.000000, 0.292920, 0.444798
237, 0.345131, 0.000000, 0.331859, 0.000000, 0.292890, 0.443670
238, 0.143746, 0.096586, 0.357032, 0.198137, 0.292860, 0.445212
239, 0.468713, 0.332638, 0.316411, 0.607335, 0.292830, 0.451286
240, 0.720164, 0.332920, 0.284980, 0.517537, 0.000000, 0.451503
241, 0.658813, 0.479647, 0.292648, 0.527828, 0.292770, 0.459362
242, 0.102306, 0.616371, 0.362212, 0.569345, 0.292740, 0.465429
243, 0.554016, 0.000000, 0.305748, 0.000000, 0.292710, 0.442298
244, 0.374821, 0.618084, 0.328147, 0.623140, 0.292680, 0.464908
245, 0.661536, 0.335737, 0.292308, 0.546609, 0.292650, 0.450578
246, 0.525555, 0.000000, 0.309306, 0.000000, 0.292620, 0.445082
247, 0.388432, 0.291369, 0.326446, 0.459320, 0.292590, 0.451068
248, 0.371724, 0.090340, 0.328535, 0.183006, 0.292560, 0.445324
249, 0.722697, 0.408231, 0.284663, 0.616366, 0.292530, 0.453971
